volcano_number,volcano_name,eruption_number,vei,start_year,end_year,latitude,longitude,decade,country,region,subregion,elevation,tectonic_settings,volcano_type
241040,Whakaari/White Island,22338,2.0,2019-01-01,2019.0,-37.52,177.18,2010.0,New Zealand,New Zealand to Fiji,New Zealand,294.0,Subduction zone / Continental crust (>25 km),Stratovolcano
290240,Sarychev Peak,22320,2.0,2019-01-01,2019.0,48.092,153.2,2010.0,Russia,Kuril Islands,Kuril Islands,1496.0,Subduction zone / Intermediate crust (15-25 km),Stratovolcano
263310,Tengger Caldera,22306,2.0,2019-01-01,2019.0,-7.942,112.95,2010.0,Indonesia,Indonesia,Java,2329.0,Subduction zone / Continental crust (>25 km),Stratovolcano
256010,Tinakula,22313,2.0,2018-01-01,2020.0,-10.386,165.804,2010.0,Solomon Islands,Melanesia and Australia,Santa Cruz Islands,796.0,Subduction zone / Crustal thickness unknown,Stratovolcano
357040,Planchon-Peteroa,22297,1.0,2018-01-01,2019.0,-35.223,-70.568,2010.0,Chile,South America,Central Chile and Argentina,3977.0,Subduction zone / Continental crust (>25 km),Stratovolcano
282050,Kuchinoerabujima,22296,3.0,2018-01-01,2019.0,30.443,130.217,2010.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,657.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
268060,Gamalama,22295,1.0,2018-01-01,2018.0,0.8,127.33,2010.0,Indonesia,Indonesia,Halmahera,1715.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
266030,Soputan,22293,3.0,2018-01-01,2018.0,1.112,124.737,2010.0,Indonesia,Indonesia,Sulawesi,1785.0,Subduction zone / Continental crust (>25 km),Stratovolcano
290200,Ketoi,22287,1.0,2018-01-01,2018.0,47.35,152.475,2010.0,Russia,Kuril Islands,Kuril Islands,1172.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
290240,Sarychev Peak,22288,2.0,2018-01-01,2018.0,48.092,153.2,2010.0,Russia,Kuril Islands,Kuril Islands,1496.0,Subduction zone / Intermediate crust (15-25 km),Stratovolcano
311060,Semisopochnoi,22289,1.0,2018-01-01,2018.0,51.93,179.58,2010.0,United States,Alaska,Aleutian Islands,1221.0,Subduction zone / Intermediate crust (15-25 km),Stratovolcano
290390,Alaid,22281,1.0,2018-01-01,2018.0,50.861,155.565,2010.0,Russia,Kuril Islands,Kuril Islands,2285.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352090,Sangay,22283,2.0,2018-01-01,2018.0,-2.005,-78.341,2010.0,Ecuador,South America,Ecuador,5286.0,Subduction zone / Continental crust (>25 km),Stratovolcano
345020,Rincon de la Vieja,22282,1.0,2018-01-01,2019.0,10.83,-85.324,2010.0,Costa Rica,México and Central America,Costa Rica,1916.0,Subduction zone / Continental crust (>25 km),Complex Volcano
353050,"Negra, Sierra",22279,2.0,2018-01-01,2018.0,-0.83,-91.17,2010.0,Ecuador,South America,Galapagos Islands,1124.0,Rift zone / Oceanic crust (< 15 km),Shield Volcano
344040,Telica,22277,1.0,2018-01-01,2018.0,12.606,-86.84,2010.0,Nicaragua,México and Central America,Nicaragua,1036.0,Subduction zone / Continental crust (>25 km),Stratovolcano
262000,Krakatau,22275,3.0,2018-01-01,2020.0,-6.102,105.423,2010.0,Indonesia,Indonesia,Krakatau,155.0,Subduction zone / Continental crust (>25 km),Caldera
263250,Merapi,22264,3.0,2018-01-01,2020.0,-7.54,110.446,2010.0,Indonesia,Indonesia,Java,2910.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300130,Karymsky,22265,3.0,2018-01-01,2018.0,54.049,159.443,2010.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,1513.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261140,Marapi,22262,2.0,2018-01-01,2018.0,-0.38,100.474,2010.0,Indonesia,Indonesia,Sumatra,2885.0,Subduction zone / Continental crust (>25 km),Complex Volcano
344020,San Cristobal,22266,1.0,2018-01-01,2018.0,12.702,-87.004,2010.0,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261170,Kerinci,22274,1.0,2018-01-01,2020.0,-1.697,101.264,2010.0,Indonesia,Indonesia,Sumatra,3800.0,Subduction zone / Continental crust (>25 km),Stratovolcano
223020,Nyamuragira,22315,0.0,2018-01-01,2020.0,-1.408,29.2,2010.0,DR Congo,Africa and Red Sea,Africa (central),3058.0,Rift zone / Continental crust (>25 km),Shield Volcano
233020,"Fournaise, Piton de la",22261,0.0,2018-01-01,2018.0,-21.244,55.708,2010.0,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
263200,Dieng Volcanic Complex,22263,1.0,2018-01-01,2018.0,-7.2,109.879,2010.0,Indonesia,Indonesia,Java,2565.0,Subduction zone / Continental crust (>25 km),Complex Volcano
282090,Kirishimayama,22257,3.0,2018-01-01,2018.0,31.934,130.862,2010.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1700.0,Subduction zone / Continental crust (>25 km),Shield Volcano
352090,Sangay,22259,1.0,2018-01-01,2018.0,-2.005,-78.341,2010.0,Ecuador,South America,Ecuador,5286.0,Subduction zone / Continental crust (>25 km),Stratovolcano
283120,Kusatsu-Shiranesan,22258,1.0,2018-01-01,2018.0,36.618,138.528,2010.0,Japan,"Japan, Taiwan, Marianas",Honshu,2165.0,Subduction zone / Continental crust (>25 km),Stratovolcano
272020,Kanlaon,22249,2.0,2017-01-01,2017.0,10.412,123.132,2010.0,Philippines,Philippines and SE Asia,Central Philippines,2435.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264020,Agung,22241,3.0,2017-01-01,2019.0,-8.343,115.508,2010.0,Indonesia,Indonesia,Lesser Sunda Islands,2997.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261230,Dempo,22248,1.0,2017-01-01,2017.0,-4.016,103.121,2010.0,Indonesia,Indonesia,Sumatra,3142.0,Subduction zone / Continental crust (>25 km),Stratovolcano
256010,Tinakula,22239,3.0,2017-01-01,2017.0,-10.386,165.804,2010.0,Solomon Islands,Melanesia and Australia,Santa Cruz Islands,796.0,Subduction zone / Crustal thickness unknown,Stratovolcano
290240,Sarychev Peak,22308,2.0,2017-01-01,2017.0,48.092,153.2,2010.0,Russia,Kuril Islands,Kuril Islands,1496.0,Subduction zone / Intermediate crust (15-25 km),Stratovolcano
282090,Kirishimayama,22242,2.0,2017-01-01,2017.0,31.934,130.862,2010.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,1700.0,Subduction zone / Continental crust (>25 km),Shield Volcano
257030,Ambae,22240,3.0,2017-01-01,2018.0,-15.389,167.835,2010.0,Vanuatu,Melanesia and Australia,Vanuatu,1496.0,Subduction zone / Intermediate crust (15-25 km),Shield Volcano
344020,San Cristobal,22252,3.0,2017-01-01,2017.0,12.702,-87.004,2010.0,Nicaragua,México and Central America,Nicaragua,1745.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261170,Kerinci,22273,1.0,2017-01-01,2017.0,-1.697,101.264,2010.0,Indonesia,Indonesia,Sumatra,3800.0,Subduction zone / Continental crust (>25 km),Stratovolcano
352090,Sangay,22231,2.0,2017-01-01,2017.0,-2.005,-78.341,2010.0,Ecuador,South America,Ecuador,5286.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264050,Sangeang Api,22228,2.0,2017-01-01,2020.0,-8.2,119.07,2010.0,Indonesia,Indonesia,Lesser Sunda Islands,1912.0,Subduction zone / Continental crust (>25 km),Complex Volcano
233020,"Fournaise, Piton de la",22224,0.0,2017-01-01,2017.0,-21.244,55.708,2010.0,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
273010,Bulusan,22229,1.0,2017-01-01,2017.0,12.769,124.056,2010.0,Philippines,Philippines and SE Asia,Luzon,1535.0,Subduction zone / Continental crust (>25 km),Stratovolcano
261140,Marapi,22226,1.0,2017-01-01,2017.0,-0.38,100.474,2010.0,Indonesia,Indonesia,Sumatra,2885.0,Subduction zone / Continental crust (>25 km),Complex Volcano
300130,Karymsky,22230,3.0,2017-01-01,2018.0,54.049,159.443,2010.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,1513.0,Subduction zone / Continental crust (>25 km),Stratovolcano
357090,Copahue,22232,1.0,2017-01-01,2018.0,-37.856,-71.183,2010.0,Chile-Argentina,South America,Central Chile and Argentina,2953.0,Subduction zone / Continental crust (>25 km),Stratovolcano
345020,Rincon de la Vieja,22208,2.0,2017-01-01,2018.0,10.83,-85.324,2010.0,Costa Rica,México and Central America,Costa Rica,1916.0,Subduction zone / Continental crust (>25 km),Complex Volcano
263200,Dieng Volcanic Complex,22227,1.0,2017-01-01,2017.0,-7.2,109.879,2010.0,Indonesia,Indonesia,Java,2565.0,Subduction zone / Continental crust (>25 km),Complex Volcano
345040,Poas,22209,1.0,2017-01-01,2017.0,10.2,-84.233,2010.0,Costa Rica,México and Central America,Costa Rica,2708.0,Subduction zone / Continental crust (>25 km),Stratovolcano
